Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Artemisia vulgaris;Mugwort;Art v 4.0201;Aero Plant;Artemisia Art v 4;IgE but no biological test;133;CAD12862.1;25955971;15
Artemisia vulgaris;Mugwort;Art v 6.0101;Aero Plant;Artemisia Art v 6 pectate lyase;IgE but no biological test;396;AAX85388.1;62530263;8
Artemisia vulgaris;Mugwort;Art v 5.0101;Aero Plant;Artemisia mugwort Art v 5;IgE plus basophil+ or SPT+;82;AAX85389.1;62530265;15
Bassia scoparia;summer cypress;Koc s 1.0101;Aero Plant;"Kochia scoparia	 Koc s 1";IgE but no biological test;167;AKV72169.1;914410012;16
Bassia scoparia;summer cypress;Koc 2 2.0101;Aero Plant;Kochia scoparia Koc s 2.01;IgE but no biological test;133;AIV43661.1;701225194;17
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;51;A45786;320545;7
Betula pendula;European white birch;Bet v 1.0301;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54696.1;534898;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;CAA54695.1;534900;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54694.1;534910;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96546.1;1321714;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96539.1;1321716;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96540.1;1321718;7
Betula pendula;European white birch;Bet v 1.0205;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96541.1;1321720;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96542.1;1321722;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96543.1;1321724;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96544.1;1321726;7
Betula pendula;European white birch;Bet v 1.0115;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96547.1;1321728;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;P43186.2;1168710;7
Betula pendula;European white birch;Bet v 1.0108;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02155.1;1542861;7
Betula pendula;European white birch;Bet v 1.0109;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02156.1;1542863;7
Betula pendula;European white birch;Bet v 1.0110;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02157.1;1542865;7
Betula pendula;European white birch;Bet v 1.0111;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02158.1;1542867;7
Betula pendula;European white birch;Bet v 1.0117;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02159.1;1542869;7
Betula pendula;European white birch;Bet v 1.0113;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02160.1;1542871;7
Betula pendula;European white birch;Bet v 1.0114;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAB02161.1;1542873;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA96545.1;2414158;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA05186.1;2564220;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA05187.1;2564222;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA05188.1;2564224;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA05190.1;2564228;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07318.1;4006928;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07319.1;4006945;7
Betula pendula;European white birch;Bet v 1.0117;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07323.1;4006953;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07324.1;4006955;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07325.1;4006957;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07326.1;4006959;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07327.1;4006961;7
Betula pendula;European white birch;Bet v 1.0118;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07329.1;4006965;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA07330.1;4006967;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;CAA04823.1;4376216;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;CAA04826.1;4376219;7
Betula pendula;European white birch;Bet v 1.0116;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;CAA04827.1;4376220;7
Betula pendula;European white birch;Bet v 1.0206;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;CAA04828.1;4376221;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;CAA04829.1;4376222;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;AAD26560.1;4590392;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;AAD26561.1;4590394;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;AAD26562.1;4590396;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;P43180.2;1168706;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;1QMR_A;11514622;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;21;AAP37482.1;30908931;7
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;1LLT_A;38492423;7
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;43;AAB20452.1;239734;7
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;120;CAA07328.1;4006963;7
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;120;CAA07320.1;4006947;7
Betula pendula;European white birch;Bet v 1.0203;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54488.1;452742;8
Betula pendula;European white birch;Bet v 1.0207;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;150;ABC41592.1;83722317;8
Betula pendula;European white birch;Bet v 1.0119;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;150;ABC41615.1;83722364;8
Betula pendula;European white birch;;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;1B6F_A;159162097;9
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;4BK7_A;560188693;15
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;4B9R_A;550544347;15
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;4BKC_A;565807648;15
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;4BKD_A;560188694;15
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;4BK6_B;560188692;15
Betula pendula;European white birch;Bet v 1.0101;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA33887.1;17938;15
Betula pendula;European white birch;Bet v 1.0102;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54482.1;452732;15
Betula pendula;European white birch;Bet v 1.0103;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54483.1;452734;15
Betula pendula;European white birch;Bet v 1.0104;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54484.1;452736;15
Betula pendula;European white birch;Bet v 1.0106;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54487.1;452740;15
Betula pendula;European white birch;Bet v 1.0107;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54489.1;452744;15
Betula pendula;European white birch;Bet v 1.0201;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54421.1;450885;15
Betula pendula;European white birch;Bet v 1.0202;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;CAA54481.1;452730;15
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;4BTZ_A;661918055;16
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;159;4Z3L_D;955264732;17
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 1b;IgE plus basophil+ or SPT+;51;B45786;320546;7
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 2;IgE plus basophil+ or SPT+;133;1CQA_A;157830684;9
Betula pendula;European white birch;Bet v 2.0101;Aero Plant;Betula Bet v 2;IgE plus basophil+ or SPT+;133;AAA16522.1;166953;11
Betula pendula;European white birch;Unassigned;Aero Plant;Betula Bet v 2;IgE plus basophil+ or SPT+;133;A4K9Z8.1;576017922;15
Betula pendula;European white birch;Bet v 3.0101;Aero Plant;Betula Bet v 3;IgE but no biological test;205;CAA55854.1;488605;15
Betula pendula;European white birch;Bet v 4.0101;Aero Plant;Betula Bet v 4;IgE but no biological test;85;CAA60628.1;809536;15
Betula pendula;European white birch;Bet v 6.0102;Aero Plant;Betula Bet v 6;IgE but no biological test;308;AAG22740.1;10764491;7
Betula pendula;European white birch;Bet v 7.0101;Aero Plant;Betula Bet v 7;IgE but no biological test;173;CAC84116.1;21886603;7
Betula pendula;European white birch;Bet v 8.0101;Aero Plant;Betula Bet v 8 glutathione S-transferase;IgE plus basophil+ or SPT+;237;AHF71027.1;573005958;16
Betula platyphylla;Japanese white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;BAB21489.1;12583681;7
Betula platyphylla;Japanese white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;BAB21490.1;12583683;7
Betula platyphylla;Japanese white birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;160;BAB21491.1;12583685;7
Betula sp.;Birch;Unassigned;Aero Plant;Betula Bet v 1;IgE plus basophil+ or SPT+;51;AAB25850.1;298736;7
Betula sp.;Birch;Unassigned;Aero Plant;Betula Bet v 1b;IgE plus basophil+ or SPT+;51;AAB25851.1;298737;7
Brassica napus;Rape;Unassigned;Aero Plant;Bra n Bra r 2;IgE but no biological test;83;S65144;2129801;7
Brassica napus;Rape;Unassigned;Aero Plant;Bra n Bra r 2;IgE but no biological test;83;S65145;2129802;7
Brassica oleracea var. oleracea;Wild cabbage;Bra o 3.0101;Aero Plant;Brassica Bra o 3 LTP full length;IgE plus basophil+ or SPT+;112;XP_013623213.1;922434456;16
Brassica rapa;Turnip;Unassigned;Aero Plant;Bra n Bra r 2;IgE but no biological test;80;S65143;2129805;7
Brassica rapa subsp. rapa;Turnip;Unassigned;Aero Plant;Bra n Bra r 2;IgE but no biological test;83;P69199.1;59800146;7
Cannabis sativa;Hemp;Can s 3.0101;Aero Plant;Cannabis LTP Can s 3;IgE but no biological test;91;CCK33472.1;571256597;15
Carica papaya;Papaya;;Aero Plant;Carica papain (Car p 1 not IUIS);IgE plus basophil+ or SPT+;345;AAB02650.1;167391;7
Carpinus betulus;Hornbeam;Car b 1.0102;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;159;CAA47357.1;402745;7
Carpinus betulus;Hornbeam;Car b 1.0103;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;CAB02206.1;1545875;7
Carpinus betulus;Hornbeam;Car b 1.0104;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;CAB02207.1;1545877;7
Carpinus betulus;Hornbeam;Car b 1.0105;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;CAB02208.1;1545879;7
Carpinus betulus;Hornbeam;Car b 1.0108;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;CAB02215.1;1545893;7
Carpinus betulus;Hornbeam;Car b 1.0301;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;161;CAB02216.1;1545895;7
Carpinus betulus;Hornbeam;Car b 1.0302;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;161;CAB02217.1;1545897;7
Carpinus betulus;Hornbeam;Unassigned;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;40;AAB20453.1;239735;7
Carpinus betulus;Hornbeam;Car b 1.0113;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;ABZ81044.1;167472845;10
Carpinus betulus;Hornbeam;Car b 1.0109;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;ABZ81040.1;167472837;10
Carpinus betulus;Hornbeam;Car b 1.0112;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;ABZ81043.1;167472843;10
Carpinus betulus;Hornbeam;Car b 1.0111;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;ABZ81042.1;167472841;10
Carpinus betulus;Hornbeam;Car b 1.0110;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;ABZ81041.1;167472839;10
Carpinus betulus;Hornbeam;Unassigned;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;80;AAB34907.1;1008578;12
Carpinus betulus;Hornbeam;Unassigned;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;80;AAB34908.1;1008579;12
Carpinus betulus;Hornbeam;Unassigned;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;80;AAB34909.1;1008580;12
Carpinus betulus;Hornbeam;Car b 1.0101;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;159;CAA47366.1;402743;15
Carpinus betulus;Hornbeam;Car b 1.0106;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;CAB02209.1;1545881;15
Carpinus betulus;Hornbeam;Car b 1.0107;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;160;CAB02213.1;1545889;15
Carpinus betulus;Hornbeam;Car b 1.0201;Aero Plant;Carpinus Car b 1;IgE plus basophil+ or SPT+;159;CAA47367.1;402747;15
Caryota mitis;Fishtail Palm;Unassigned;Aero Plant;Caryota profilin;IgE but no biological test;131;ABM53030.1;121277849;8
Castanea sativa;European chestnut;;Aero Plant;Castanea Cas s 1;IgE but no biological test;160;CAD10374.1;16555781;7
Castanea sativa;European chestnut;Unassigned;Aero Plant;Castanea Cas s 1;IgE but no biological test;159;ACJ23862.1;212291466;10
Castanea sativa;European chestnut;Cas s 1.0101;Aero Plant;Castanea Cas s 1;IgE but no biological test;159;ACJ23861.1;212291464;10
Castanea sativa;European chestnut;Unassigned;Aero Plant;Castanea Cas s 1;IgE but no biological test;159;ACJ23863.1;212291468;10
Catharanthus roseus;Madagascar periwinkle;Cat r 1.0101;Aero Plant;Catharanthus cyclophilin;IgE plus basophil+ or SPT+;172;CAA59468.1;1220142;13
Chamaecyparis obtusa;Japanese cypress;Cha o 1.0101;Aero Plant;Chamaecyparis Cha o 1;IgE but no biological test;375;BAA08246.1;1514943;7
Chamaecyparis obtusa;Japanese cypress;Cha o 2.0101;Aero Plant;Chamaecyparis Cha o 2;IgE but no biological test;514;Q7M1E7.1;47606004;7
Chamaecyparis obtusa;Japanese cypress;Unassigned;Aero Plant;Chamaecyparis Cha o 2;IgE but no biological test;419;BAF32143.1;114841683;8
Chamaecyparis obtusa;Japanese cypress;Cha o 3.0101;Aero Plant;Chamaecyparis obtusa Cha o 3;IgE plus basophil+ or SPT+;556;C0HLA0.1;1407868342;19
Chenopodium album;Pigweed;Che a 1.0101;Aero Plant;Chenopodium Che a 1;IgE but no biological test;168;AAL07319.1;22074346;7
Chenopodium album;Pigweed;Che a 2.0101;Aero Plant;Chenopodium Che a 2;IgE plus basophil+ or SPT+;131;AAL92870.1;29465666;7
Chenopodium album;Pigweed;Unassigned;Aero Plant;Chenopodium Che a 2;IgE plus basophil+ or SPT+;133;ACR77509.1;238886048;11
Chenopodium album;Pigweed;Che a 3.0101;Aero Plant;Chenopodium Che a 3;IgE but no biological test;86;AAL92871.1;29465668;7
Corylus avellana;European hazelnut;Cor a 1.0103;Aero Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;160;CAA50325.1;22684;7
Corylus avellana;European hazelnut;Cor a 1.0104;Aero Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;160;CAA50326.1;22686;7
Corylus avellana;European hazelnut;Cor a 1.0102;Aero Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;160;CAA50328.1;22690;7
Corylus avellana;European hazelnut;Cor a 1.0201;Aero Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;160;CAA96548.1;1321731;7
Corylus avellana;European hazelnut;Cor a 1.0301;Aero Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;160;CAA96549.1;1321733;7
Corylus avellana;European hazelnut;Cor a 2.0101;Aero Plant;Corylus Cor a 2 profilins;IgE but no biological test;131;AAK01235.1;12659206;7
Corylus avellana;European hazelnut;Cor a 2.0102;Aero Plant;Corylus Cor a 2 profilins;IgE but no biological test;131;AAK01236.1;12659208;7
Corylus avellana;European hazelnut;Unassigned;Aero Plant;Corylus Cor a 9;IgE plus basophil+ or SPT+;514;AHA36627.1;557792009;16
Crocus sativus;Saffron crocus;Cro s 2.0101;Aero Plant;Crocus profilin Cro s 2;IgE but no biological test;131;AAW81034.1;58700651;7
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria class IV chitinase;IgE but no biological test;281;BAD77932.1;56550550;7
Cryptomeria japonica;Japanese cedar;Cry j 1.0102;Aero Plant;Cryptomeria Cry j 1;IgE but no biological test;374;BAA05543.1;493634;8
Cryptomeria japonica;Japanese cedar;Cry j 1.0101;Aero Plant;Cryptomeria Cry j 1;IgE but no biological test;374;BAA05542.1;493632;15
Cryptomeria japonica;Japanese cedar;Cry j 1.0103;Aero Plant;Cryptomeria Cry j 1;IgE but no biological test;374;BAA07020.1;516728;15
Cryptomeria japonica;Japanese cedar;;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;P43212.1;1171004;7
Cryptomeria japonica;Japanese cedar;;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAC23082.1;24898904;7
Cryptomeria japonica;Japanese cedar;;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAC23083.1;24898906;7
Cryptomeria japonica;Japanese cedar;;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAC23084.1;24898908;7
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32105.1;114841607;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32110.1;114841617;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32116.1;114841629;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32119.1;114841635;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32122.1;114841641;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32128.1;114841653;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32130.1;114841657;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32133.1;114841663;8
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAF32134.1;114841665;8
Cryptomeria japonica;Japanese cedar;Cry j 2.0101;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;514;BAA06172.1;506858;9
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Cry j 2;IgE plus basophil+ or SPT+;65;BAF45320.1;123299282;9
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria Isoflavone reductase-like protein;IgE but no biological test;306;AAK27264.1;19847822;7
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria pollen allergen CJP-8;IgE but no biological test;165;BAI94503.1;291621332;12
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria pollen allergen CPA63;IgE but no biological test;472;BAJ04354.1;293329689;12
Cryptomeria japonica;Japanese cedar;Unassigned;Aero Plant;Cryptomeria thaumatin like Cry j 3.8;IgE plus basophil+ or SPT+;225;BAF51970.1;139002766;8
Cupressus arizonica;Arizona Cypress;Cup a 1.0101;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;346;CAB62551.1;6562326;7
Cupressus arizonica;Arizona Cypress;;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;367;CAC37790.2;19069497;7
Cupressus arizonica;Arizona Cypress;Unassigned;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;347;ABK78766.1;118197955;8
Cupressus arizonica;Arizona Cypress;Unassigned;Aero Plant;Cupressus Cup a 4;IgE but no biological test;165;ACY01951.1;261865475;11
Cupressus arizonica;Arizona Cypress;Unassigned;Aero Plant;Cupressus Cup s 3;IgE but no biological test;199;CAC05258.1;9929163;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 1.0101;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;367;AAF72625.1;8101711;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 1.0102;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;367;AAF72626.1;8101713;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 1.0103;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;367;AAF72627.1;8101715;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 1.0104;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;367;AAF72628.1;8101717;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 1.0105;Aero Plant;Cupressus Cup a 1/Cup s 1;IgE plus basophil+ or SPT+;367;AAF72629.1;8101719;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 3.0102;Aero Plant;Cupressus Cup s 3;IgE but no biological test;225;AAR21074.1;38456228;7
Cupressus sempervirens;Mediterranean Cypress;Cup s 3.0101;Aero Plant;Cupressus Cup s 3;IgE but no biological test;225;AAR21073.1;38456226;11
Cynodon dactylon;Bermuda grass;;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;25;AAB28566.1;451274;7
Cynodon dactylon;Bermuda grass;;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;38;AAB28567.1;451275;7
Cynodon dactylon;Bermuda grass;;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;34;AAB32317.1;691726;7
Cynodon dactylon;Bermuda grass;Cyn d 1.0204;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;244;AAF80379.2;10314021;7
Cynodon dactylon;Bermuda grass;Cyn d 1.0201;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;244;AAK96255.1;15384338;7
Cynodon dactylon;Bermuda grass;Cyn d 1.0202;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;262;AAL14077.1;16076693;7
Cynodon dactylon;Bermuda grass;;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;262;AAL14078.1;16076695;7
Cynodon dactylon;Bermuda grass;Cyn d 1.0203;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;262;AAL14079.1;16076697;7
Cynodon dactylon;Bermuda grass;Cyn d 1.0101;Aero Plant;Cynodon Cyn d 1;IgE plus basophil+ or SPT+;246;AAB50734.2;7687901;10
Cynodon dactylon;Bermuda grass;Cyn d 12.0101;Aero Plant;Cynodon Cyn d 12;IgE but no biological test;131;CAA69670.1;2154730;7
Cynodon dactylon;Bermuda grass;Unassigned;Aero Plant;Cynodon Cyn d 7;IgE but no biological test;71;CAA01909.1;1247373;7
Cynodon dactylon;Bermuda grass;Unassigned;Aero Plant;Cynodon Cyn d 7;IgE but no biological test;73;CAA01910.1;1247375;7
Cynodon dactylon;Bermuda grass;Cyn d 7.0101;Aero Plant;Cynodon Cyn d 7;IgE but no biological test;82;CAA62634.1;1871507;7
Cynodon dactylon;Bermuda grass;Unassigned;Aero Plant;Cynodon Group 4 like-allergen FAD-linked oxidoredu;IgE but no biological test;522;AAS02108.1;41393750;7
Dactylis glomerata;Orchard grass;;Aero Plant;Dactylis Dac g 1;IgE plus basophil+ or SPT+;264;CAD20406.1;18093991;7
Dactylis glomerata;Orchard grass;Dac g 1.0101;Aero Plant;Dactylis Dac g 1;IgE plus basophil+ or SPT+;240;AAP96759.1;33149333;7
Dactylis glomerata;Orchard grass;Dac g 2.0101;Aero Plant;Dactylis Dac g 2;IgE but no biological test;196;2103117A;1093120;7
Dactylis glomerata;Orchard grass;;Aero Plant;Dactylis Dac g 2;IgE but no biological test;122;CAA10345.1;4007040;7
Dactylis glomerata;Orchard grass;Dac g 3.0101;Aero Plant;Dactylis Dac g 3;IgE but no biological test;96;AAB42200.1;1825459;7
Dactylis glomerata;Orchard grass;Dac g 4.0101;Aero Plant;Dactylis Dac g 4;IgE but no biological test;55;P82946.1;32363463;9
Dactylis glomerata;Orchard grass;;Aero Plant;Dactylis Dac g 5;IgE but no biological test;290;AAK62278.1;14423124;7
Dactylis glomerata;Orchard grass;;Aero Plant;Dactylis Dac g 5;IgE but no biological test;265;CAD20405.1;18093971;7
Fagus sylvatica;European Beech;Unassigned;Aero Plant;Fagus Fag s 1;IgE plus basophil+ or SPT+;160;ACJ23865.1;212291472;10
Fagus sylvatica;European Beech;Fag s 1.0101;Aero Plant;Fagus Fag s 1;IgE plus basophil+ or SPT+;160;ACJ23864.1;212291470;10
